name_before,name_after,Material_before,Material_after,price
The North Face,ザ ノース フェイス,polyester,ポリエステル,2
Patagonia,パタゴニア,organic cotton,オーガニックコットン,5000
L Space,エルスペース,nylon,ナイロン,
Roxy,ロキシー,wool,ウール,
Arc'teryx,アークテリクス,cotton,コットン,
Barbour,バブアー,,,
Norrona,ノローナ,,,
Prana,プラナ,,,
Outdoor Research,アウトドア リサーチ,,,
Black Diamond,ブラックダイヤモンド,,,
Flylow,フライロー,,,
Helly Hansen,ハリーハンセン,,,
Marmot,マーモット,,,
Parajumpers,パラジャンパー,,,
Mackage,マッカ―ジュ,,,
Mountain Hardwear,マウンテンハードウェア,,,
Burton,バートン,,,
Columbia,コロンビア,,,
Smartwool,スマートウール,,,
Spyder,スパイダー,,,
Alo Yoga,アロヨガ,,,
Rab,ラブ,,,
Bogner,ボグナー,,,
Stoic,ストイック,,,
Backcountry,バックカントリー,,,
Canada Goose,カナダグース,,,
Volcom,ボルコム,,,
Women,レディース,,,
Under,アンダー,,,
Trench,トレンチ,,,
Rain,レイン,,,
Down,ダウン,,,
Reversible,リバーシブル,,,
Sweater,セーター,,,
Fleece,フリース,,,
Jacket,ジャケット,,,
Vest,ベスト,,,
Top,トップス,,,
Dress,ドレス,,,
Shirt,シャツ,,,
Smartwool,スマートウール,,,
sweatshirt,トレーナー,,,
Cardigan,カーディガン,,,
Stretch,ストレッチ,,,
Pant,パンツ,,,
Coat,コート,,,
Parka,パーカー,,,
Wetsuit,ウェットスーツ,,,
Skort,スカート,,,
